
OID=.1.3.6.1.2.1.1.2.0, Type=OID, Value=1.3.6.1.4.1.318.1.3.4.5
OID=.1.3.6.1.2.1.2.2.1.4.1, Type=Integer, Value=1500
OID=.1.3.6.1.2.1.2.2.1.4.2, Type=Integer, Value=1500
OID=.1.3.6.1.2.1.2.2.1.5.1, Type=Gauge32, Value=0
OID=.1.3.6.1.2.1.2.2.1.5.2, Type=Gauge32, Value=10000000
OID=.1.3.6.1.2.1.2.2.1.6.1, Type=OctetString, Value=
OID=.1.3.6.1.2.1.2.2.1.6.2, Type=OctetString, Value=  00 C0 B7 D7 22 2C                                  
OID=.1.3.6.1.2.1.2.2.1.7.1, Type=Integer, Value=1
OID=.1.3.6.1.2.1.2.2.1.7.2, Type=Integer, Value=1
OID=.1.3.6.1.2.1.2.2.1.8.1, Type=Integer, Value=1
OID=.1.3.6.1.2.1.2.2.1.8.2, Type=Integer, Value=1
OID=.1.3.6.1.2.1.2.2.1.9.1, Type=TimeTicks, Value=0:00:00.00
OID=.1.3.6.1.2.1.2.2.1.9.2, Type=TimeTicks, Value=0:00:00.00
OID=.1.3.6.1.2.1.2.2.1.10.1, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.2.2.1.10.2, Type=Counter32, Value=117785352
OID=.1.3.6.1.2.1.2.2.1.11.1, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.2.2.1.11.2, Type=Counter32, Value=860663
OID=.1.3.6.1.2.1.2.2.1.12.1, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.2.2.1.12.2, Type=Counter32, Value=68639
OID=.1.3.6.1.2.1.2.2.1.13.1, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.2.2.1.13.2, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.2.2.1.14.1, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.2.2.1.14.2, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.2.2.1.15.1, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.2.2.1.15.2, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.2.2.1.16.1, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.2.2.1.16.2, Type=Counter32, Value=101813180
OID=.1.3.6.1.2.1.2.2.1.17.1, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.2.2.1.17.2, Type=Counter32, Value=905932
OID=.1.3.6.1.2.1.2.2.1.18.1, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.2.2.1.18.2, Type=Counter32, Value=45274
OID=.1.3.6.1.2.1.2.2.1.19.1, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.2.2.1.19.2, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.2.2.1.20.1, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.2.2.1.20.2, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.2.2.1.21.1, Type=Gauge32, Value=0
OID=.1.3.6.1.2.1.2.2.1.21.2, Type=Gauge32, Value=1
OID=.1.3.6.1.2.1.2.2.1.22.1, Type=OID, Value=0.0
OID=.1.3.6.1.2.1.2.2.1.22.2, Type=OID, Value=0.0
OID=.1.3.6.1.2.1.3.1.1.1.2.1.10.10.80.126, Type=Integer, Value=2
OID=.1.3.6.1.2.1.3.1.1.2.2.1.10.10.80.126, Type=OctetString, Value=  00 1B 17 00 01 19                                  
OID=.1.3.6.1.2.1.3.1.1.3.2.1.10.10.80.126, Type=IpAddress, Value=10.10.80.126
OID=.1.3.6.1.2.1.4.1.0, Type=Integer, Value=2
OID=.1.3.6.1.2.1.4.2.0, Type=Integer, Value=64
OID=.1.3.6.1.2.1.4.3.0, Type=Counter32, Value=884108
OID=.1.3.6.1.2.1.4.4.0, Type=Counter32, Value=3
OID=.1.3.6.1.2.1.4.5.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.4.6.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.4.7.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.4.8.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.4.9.0, Type=Counter32, Value=884111
OID=.1.3.6.1.2.1.4.10.0, Type=Counter32, Value=906078
OID=.1.3.6.1.2.1.4.11.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.4.12.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.4.13.0, Type=Integer, Value=0
OID=.1.3.6.1.2.1.4.14.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.4.15.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.4.16.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.4.17.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.4.18.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.4.19.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.4.20.1.1.10.10.80.61, Type=IpAddress, Value=10.10.80.61
OID=.1.3.6.1.2.1.4.20.1.1.127.0.0.1, Type=IpAddress, Value=127.0.0.1
OID=.1.3.6.1.2.1.4.20.1.2.10.10.80.61, Type=Integer, Value=2
OID=.1.3.6.1.2.1.4.20.1.2.127.0.0.1, Type=Integer, Value=1
OID=.1.3.6.1.2.1.4.20.1.3.10.10.80.61, Type=IpAddress, Value=255.255.255.128
OID=.1.3.6.1.2.1.4.20.1.3.127.0.0.1, Type=IpAddress, Value=255.255.255.255
OID=.1.3.6.1.2.1.4.20.1.4.10.10.80.61, Type=Integer, Value=1
OID=.1.3.6.1.2.1.4.20.1.4.127.0.0.1, Type=Integer, Value=1
OID=.1.3.6.1.2.1.4.20.1.5.10.10.80.61, Type=Integer, Value=1500
OID=.1.3.6.1.2.1.4.20.1.5.127.0.0.1, Type=Integer, Value=1500
OID=.1.3.6.1.2.1.4.21.1.1.0.0.0.0, Type=IpAddress, Value=0.0.0.0
OID=.1.3.6.1.2.1.4.21.1.1.10.10.80.0, Type=IpAddress, Value=10.10.80.0
OID=.1.3.6.1.2.1.4.21.1.1.127.0.0.1, Type=IpAddress, Value=127.0.0.1
OID=.1.3.6.1.2.1.4.21.1.2.0.0.0.0, Type=Integer, Value=2
OID=.1.3.6.1.2.1.4.21.1.2.10.10.80.0, Type=Integer, Value=2
OID=.1.3.6.1.2.1.4.21.1.2.127.0.0.1, Type=Integer, Value=1
OID=.1.3.6.1.2.1.4.21.1.3.0.0.0.0, Type=Integer, Value=1
OID=.1.3.6.1.2.1.4.21.1.3.10.10.80.0, Type=Integer, Value=0
OID=.1.3.6.1.2.1.4.21.1.3.127.0.0.1, Type=Integer, Value=0
OID=.1.3.6.1.2.1.4.21.1.4.0.0.0.0, Type=Integer, Value=65535
OID=.1.3.6.1.2.1.4.21.1.4.10.10.80.0, Type=Integer, Value=65535
OID=.1.3.6.1.2.1.4.21.1.4.127.0.0.1, Type=Integer, Value=65535
OID=.1.3.6.1.2.1.4.21.1.5.0.0.0.0, Type=Integer, Value=65535
OID=.1.3.6.1.2.1.4.21.1.5.10.10.80.0, Type=Integer, Value=65535
OID=.1.3.6.1.2.1.4.21.1.5.127.0.0.1, Type=Integer, Value=65535
OID=.1.3.6.1.2.1.4.21.1.6.0.0.0.0, Type=Integer, Value=65535
OID=.1.3.6.1.2.1.4.21.1.6.10.10.80.0, Type=Integer, Value=65535
OID=.1.3.6.1.2.1.4.21.1.6.127.0.0.1, Type=Integer, Value=65535
OID=.1.3.6.1.2.1.4.21.1.7.0.0.0.0, Type=IpAddress, Value=10.10.80.126
OID=.1.3.6.1.2.1.4.21.1.7.10.10.80.0, Type=IpAddress, Value=10.10.80.61
OID=.1.3.6.1.2.1.4.21.1.7.127.0.0.1, Type=IpAddress, Value=127.0.0.1
OID=.1.3.6.1.2.1.4.21.1.8.0.0.0.0, Type=Integer, Value=4
OID=.1.3.6.1.2.1.4.21.1.8.10.10.80.0, Type=Integer, Value=3
OID=.1.3.6.1.2.1.4.21.1.8.127.0.0.1, Type=Integer, Value=3
OID=.1.3.6.1.2.1.4.21.1.9.0.0.0.0, Type=Integer, Value=2
OID=.1.3.6.1.2.1.4.21.1.9.10.10.80.0, Type=Integer, Value=2
OID=.1.3.6.1.2.1.4.21.1.9.127.0.0.1, Type=Integer, Value=2
OID=.1.3.6.1.2.1.4.21.1.10.0.0.0.0, Type=Integer, Value=65535
OID=.1.3.6.1.2.1.4.21.1.10.10.10.80.0, Type=Integer, Value=65535
OID=.1.3.6.1.2.1.4.21.1.10.127.0.0.1, Type=Integer, Value=65535
OID=.1.3.6.1.2.1.4.21.1.11.0.0.0.0, Type=IpAddress, Value=0.0.0.0
OID=.1.3.6.1.2.1.4.21.1.11.10.10.80.0, Type=IpAddress, Value=255.255.255.128
OID=.1.3.6.1.2.1.4.21.1.11.127.0.0.1, Type=IpAddress, Value=255.255.255.255
OID=.1.3.6.1.2.1.4.21.1.12.0.0.0.0, Type=Integer, Value=65535
OID=.1.3.6.1.2.1.4.21.1.12.10.10.80.0, Type=Integer, Value=65535
OID=.1.3.6.1.2.1.4.21.1.12.127.0.0.1, Type=Integer, Value=65535
OID=.1.3.6.1.2.1.4.21.1.13.0.0.0.0, Type=OID, Value=0.0
OID=.1.3.6.1.2.1.4.21.1.13.10.10.80.0, Type=OID, Value=0.0
OID=.1.3.6.1.2.1.4.21.1.13.127.0.0.1, Type=OID, Value=0.0
OID=.1.3.6.1.2.1.4.22.1.1.2.10.10.80.126, Type=Integer, Value=2
OID=.1.3.6.1.2.1.4.22.1.2.2.10.10.80.126, Type=OctetString, Value=  00 1B 17 00 01 19                                  
OID=.1.3.6.1.2.1.4.22.1.3.2.10.10.80.126, Type=IpAddress, Value=10.10.80.126
OID=.1.3.6.1.2.1.4.22.1.4.2.10.10.80.126, Type=Integer, Value=3
OID=.1.3.6.1.2.1.4.23.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.1.0, Type=Counter32, Value=813819
OID=.1.3.6.1.2.1.5.2.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.3.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.4.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.5.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.6.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.7.0, Type=Counter32, Value=81
OID=.1.3.6.1.2.1.5.8.0, Type=Counter32, Value=813738
OID=.1.3.6.1.2.1.5.9.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.10.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.11.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.12.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.13.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.14.0, Type=Counter32, Value=904172
OID=.1.3.6.1.2.1.5.15.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.16.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.17.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.18.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.19.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.20.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.21.0, Type=Counter32, Value=90434
OID=.1.3.6.1.2.1.5.22.0, Type=Counter32, Value=813738
OID=.1.3.6.1.2.1.5.23.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.24.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.25.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.5.26.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.6.1.0, Type=Integer, Value=4
OID=.1.3.6.1.2.1.6.2.0, Type=Integer, Value=1000
OID=.1.3.6.1.2.1.6.3.0, Type=Integer, Value=60000
OID=.1.3.6.1.2.1.6.4.0, Type=Integer, Value=32
OID=.1.3.6.1.2.1.6.5.0, Type=Counter32, Value=16
OID=.1.3.6.1.2.1.6.6.0, Type=Counter32, Value=55
OID=.1.3.6.1.2.1.6.7.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.6.8.0, Type=Counter32, Value=2
OID=.1.3.6.1.2.1.6.9.0, Type=Gauge32, Value=2
OID=.1.3.6.1.2.1.6.10.0, Type=Counter32, Value=1111
OID=.1.3.6.1.2.1.6.11.0, Type=Counter32, Value=910
OID=.1.3.6.1.2.1.6.12.0, Type=Counter32, Value=3
OID=.1.3.6.1.2.1.6.13.1.1.0.0.0.0.21.0.0.0.0.0, Type=Integer, Value=2
OID=.1.3.6.1.2.1.6.13.1.1.0.0.0.0.22.0.0.0.0.0, Type=Integer, Value=2
OID=.1.3.6.1.2.1.6.13.1.1.0.0.0.0.80.0.0.0.0.0, Type=Integer, Value=2
OID=.1.3.6.1.2.1.6.13.1.1.10.10.80.61.80.10.10.86.43.59636, Type=Integer, Value=5
OID=.1.3.6.1.2.1.6.13.1.1.10.10.80.61.80.10.10.86.43.59642, Type=Integer, Value=5
OID=.1.3.6.1.2.1.6.13.1.2.0.0.0.0.21.0.0.0.0.0, Type=IpAddress, Value=0.0.0.0
OID=.1.3.6.1.2.1.6.13.1.2.0.0.0.0.22.0.0.0.0.0, Type=IpAddress, Value=0.0.0.0
OID=.1.3.6.1.2.1.6.13.1.2.0.0.0.0.80.0.0.0.0.0, Type=IpAddress, Value=0.0.0.0
OID=.1.3.6.1.2.1.6.13.1.2.10.10.80.61.80.10.10.86.43.59636, Type=IpAddress, Value=10.10.80.61
OID=.1.3.6.1.2.1.6.13.1.2.10.10.80.61.80.10.10.86.43.59642, Type=IpAddress, Value=10.10.80.61
OID=.1.3.6.1.2.1.6.13.1.3.0.0.0.0.21.0.0.0.0.0, Type=Integer, Value=21
OID=.1.3.6.1.2.1.6.13.1.3.0.0.0.0.22.0.0.0.0.0, Type=Integer, Value=22
OID=.1.3.6.1.2.1.6.13.1.3.0.0.0.0.80.0.0.0.0.0, Type=Integer, Value=80
OID=.1.3.6.1.2.1.6.13.1.3.10.10.80.61.80.10.10.86.43.59636, Type=Integer, Value=80
OID=.1.3.6.1.2.1.6.13.1.3.10.10.80.61.80.10.10.86.43.59642, Type=Integer, Value=80
OID=.1.3.6.1.2.1.6.13.1.4.0.0.0.0.21.0.0.0.0.0, Type=IpAddress, Value=0.0.0.0
OID=.1.3.6.1.2.1.6.13.1.4.0.0.0.0.22.0.0.0.0.0, Type=IpAddress, Value=0.0.0.0
OID=.1.3.6.1.2.1.6.13.1.4.0.0.0.0.80.0.0.0.0.0, Type=IpAddress, Value=0.0.0.0
OID=.1.3.6.1.2.1.6.13.1.4.10.10.80.61.80.10.10.86.43.59636, Type=IpAddress, Value=10.10.86.43
OID=.1.3.6.1.2.1.6.13.1.4.10.10.80.61.80.10.10.86.43.59642, Type=IpAddress, Value=10.10.86.43
OID=.1.3.6.1.2.1.6.13.1.5.0.0.0.0.21.0.0.0.0.0, Type=Integer, Value=0
OID=.1.3.6.1.2.1.6.13.1.5.0.0.0.0.22.0.0.0.0.0, Type=Integer, Value=0
OID=.1.3.6.1.2.1.6.13.1.5.0.0.0.0.80.0.0.0.0.0, Type=Integer, Value=0
OID=.1.3.6.1.2.1.6.13.1.5.10.10.80.61.80.10.10.86.43.59636, Type=Integer, Value=59636
OID=.1.3.6.1.2.1.6.13.1.5.10.10.80.61.80.10.10.86.43.59642, Type=Integer, Value=59642
OID=.1.3.6.1.2.1.6.14.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.6.15.0, Type=Counter32, Value=55
OID=.1.3.6.1.2.1.7.1.0, Type=Counter32, Value=681
OID=.1.3.6.1.2.1.7.2.0, Type=Counter32, Value=68605
OID=.1.3.6.1.2.1.7.3.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.7.4.0, Type=Counter32, Value=830
OID=.1.3.6.1.2.1.7.5.1.1.0.0.0.0.161, Type=IpAddress, Value=0.0.0.0
OID=.1.3.6.1.2.1.7.5.1.1.0.0.0.0.33281, Type=IpAddress, Value=0.0.0.0
OID=.1.3.6.1.2.1.7.5.1.1.0.0.0.0.33795, Type=IpAddress, Value=0.0.0.0
OID=.1.3.6.1.2.1.7.5.1.1.0.0.0.0.34822, Type=IpAddress, Value=0.0.0.0
OID=.1.3.6.1.2.1.7.5.1.1.0.0.0.0.36722, Type=IpAddress, Value=0.0.0.0
OID=.1.3.6.1.2.1.7.5.1.1.0.0.0.0.44486, Type=IpAddress, Value=0.0.0.0
OID=.1.3.6.1.2.1.7.5.1.1.10.10.80.61.9950, Type=IpAddress, Value=10.10.80.61
OID=.1.3.6.1.2.1.7.5.1.2.0.0.0.0.161, Type=Integer, Value=161
OID=.1.3.6.1.2.1.7.5.1.2.0.0.0.0.33281, Type=Integer, Value=33281
OID=.1.3.6.1.2.1.7.5.1.2.0.0.0.0.33795, Type=Integer, Value=33795
OID=.1.3.6.1.2.1.7.5.1.2.0.0.0.0.34822, Type=Integer, Value=34822
OID=.1.3.6.1.2.1.7.5.1.2.0.0.0.0.36722, Type=Integer, Value=36722
OID=.1.3.6.1.2.1.7.5.1.2.0.0.0.0.44486, Type=Integer, Value=44486
OID=.1.3.6.1.2.1.7.5.1.2.10.10.80.61.9950, Type=Integer, Value=9950
OID=.1.3.6.1.2.1.11.1.0, Type=Counter32, Value=532
OID=.1.3.6.1.2.1.11.2.0, Type=Counter32, Value=524
OID=.1.3.6.1.2.1.11.3.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.4.0, Type=Counter32, Value=16
OID=.1.3.6.1.2.1.11.5.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.6.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.8.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.9.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.10.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.11.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.12.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.13.0, Type=Counter32, Value=534
OID=.1.3.6.1.2.1.11.14.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.15.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.16.0, Type=Counter32, Value=538
OID=.1.3.6.1.2.1.11.17.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.18.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.19.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.20.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.21.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.22.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.24.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.25.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.26.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.27.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.28.0, Type=Counter32, Value=548
OID=.1.3.6.1.2.1.11.29.0, Type=Counter32, Value=252
OID=.1.3.6.1.2.1.11.30.0, Type=Integer, Value=1
OID=.1.3.6.1.2.1.11.31.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.32.0, Type=Counter32, Value=0
OID=.1.3.6.1.4.1.318.1.1.4.1.1.0, Type=OctetString, Value=B2
OID=.1.3.6.1.4.1.318.1.1.4.1.2.0, Type=OctetString, Value=v3.5.7
OID=.1.3.6.1.4.1.318.1.1.4.1.3.0, Type=OctetString, Value=02/11/2009
OID=.1.3.6.1.4.1.318.1.1.4.1.4.0, Type=OctetString, Value=AP7951
OID=.1.3.6.1.4.1.318.1.1.4.1.5.0, Type=OctetString, Value=ZA0907002362
OID=.1.3.6.1.4.1.318.1.1.4.2.1.0, Type=Integer, Value=6
OID=.1.3.6.1.4.1.318.1.1.4.2.2.0, Type=OctetString, Value=On  On  On  On  On  On  On  On  On  On  On  On  On  On  On  On  On  On  On  On  On  On  On  On  
OID=.1.3.6.1.4.1.318.1.1.4.2.3.0, Type=OctetString, Value=No  No  No  No  No  No  No  No  No  No  No  No  No  No  No  No  No  No  No  No  No  No  No  No  
OID=.1.3.6.1.4.1.318.1.1.4.3.1.0, Type=Integer, Value=0
OID=.1.3.6.1.4.1.318.1.1.4.3.2.0, Type=Integer, Value=0
OID=.1.3.6.1.4.1.318.1.1.4.3.3.0, Type=OctetString, Value=apc-1-a1-sqy
OID=.1.3.6.1.4.1.318.1.1.4.4.1.0, Type=Integer, Value=24
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.1, Type=Integer, Value=1
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.2, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.3, Type=Integer, Value=3
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.4, Type=Integer, Value=4
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.5, Type=Integer, Value=5
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.6, Type=Integer, Value=6
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.7, Type=Integer, Value=7
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.8, Type=Integer, Value=8
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.9, Type=Integer, Value=9
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.10, Type=Integer, Value=10
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.11, Type=Integer, Value=11
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.12, Type=Integer, Value=12
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.13, Type=Integer, Value=13
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.14, Type=Integer, Value=14
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.15, Type=Integer, Value=15
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.16, Type=Integer, Value=16
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.17, Type=Integer, Value=17
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.18, Type=Integer, Value=18
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.19, Type=Integer, Value=19
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.20, Type=Integer, Value=20
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.21, Type=Integer, Value=21
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.22, Type=Integer, Value=22
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.23, Type=Integer, Value=23
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.1.24, Type=Integer, Value=24
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.1, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.2, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.3, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.4, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.5, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.6, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.7, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.8, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.9, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.10, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.11, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.12, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.13, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.14, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.15, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.16, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.17, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.18, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.19, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.20, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.21, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.22, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.23, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.2.24, Type=Integer, Value=2
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.3.1, Type=Integer, Value=1
OID=.1.3.6.1.4.1.318.1.1.4.4.2.1.3.2, Type=Integer, Value=1
